Container,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
169,"[14753231, 27060034]",44874,1651,6,99.72,45.86111111111112,10,126,1949,54
170,"[19231846, 22933507, 23047851, 23498899]",41342,3175,60,91.87111111111112,88.19444444444444,100,3658,425,0
171,"[12686149, 24825462]",44800,3003,32,99.55555555555556,83.41666666666666,53.333333333333336,200,597,28
172,"[13536225, 19636521, 20881552]",44811,3533,56,99.58,98.13888888888889,93.33333333333331,189,67,4
173,"[12201037, 15108613, 22330934, 28411636]",44146,3437,60,98.10222222222222,95.47222222222224,100,854,163,0
174,"[12061228, 24288677]",44736,1902,46,99.41333333333333,52.83333333333333,76.66666666666667,264,1698,14
175,"[15606438, 27832010, 28518926]",44666,1972,48,99.25777777777778,54.77777777777778,80,334,1628,12
176,"[31849633, 33513144]",44906,3320,46,99.79111111,92.22222222222224,76.66666666666667,94,280,14
177,"[32767414, 38993915]",44084,2469,60,97.96444444444444,68.58333333333333,100,916,1131,0
178,"[32998968, 49898367]",43681,3596,37,97.06888888888888,99.88888889,61.66666666666667,1319,4,23
179,"[33427112, 52940155]",39799,2321,60,88.44222222222223,64.47222222222221,100,5201,1279,0
180,"[31388562, 34113318, 39146043]",34804,3599,53,77.34222222222222,99.97222222,88.33333333333333,10196,1,7
181,"[36264400, 47192108, 48258766]",44714,2948,40,99.36444444444444,81.88888888888889,66.66666666666666,286,652,20
182,"[32482307, 36368384, 51869442]",44711,3244,60,99.35777777777778,90.11111111111111,100,289,356,0
183,"[38068765, 38496129]",44747,3138,57,99.43777777777778,87.16666666666667,95,253,462,3
184,"[38934374, 50896141, 52265901]",43011,3569,57,95.58,99.13888888888889,95,1989,31,3
185,"[39635756, 40081421, 43867814]",44589,3435,24,99.08666666666667,95.41666666666669,40,411,165,36
186,"[34658953, 39774950]",44696,3280,35,99.32444444444444,91.11111111111111,58.333333333333336,304,320,25
187,"[33646615, 39883811, 40220745]",44979,2624,58,99.95333333333332,72.88888888888889,96.66666666666669,21,976,2
188,"[41347415, 51466750, 52604648]",44384,3570,19,98.63111111111112,99.16666666666669,31.666666666666664,616,30,41
189,"[41113431, 42581639, 48435305]",42524,3573,59,94.49777777777778,99.25,98.33333333333331,2476,27,1
190,"[38681848, 42820002, 48145075]",44998,3338,50,99.99555555555555,92.72222222,83.33333333333334,2,262,10
191,"[42944853, 49997428]",44986,3340,52,99.96888888888888,92.77777778,86.66666666666667,14,260,8
192,"[43294535, 43302108]",44817,2701,47,99.59333333333332,75.02777777777779,78.33333333333333,183,899,13
193,"[33520868, 42764972, 43577818]",44945,2797,58,99.87777777777778,77.69444444444444,96.66666666666669,55,803,2
194,"[31298954, 36983231, 44398374]",44683,3494,50,99.29555555555557,97.05555555555556,83.33333333333334,317,106,10
195,"[32189533, 45209604]",44926,2895,47,99.83555555555556,80.41666666666667,78.33333333333333,74,705,13
196,"[35158009, 45630987, 51496479]",44757,3573,32,99.46,99.25,53.333333333333336,243,27,28
197,"[34389238, 38274272, 46738370]",44981,3336,52,99.95777777777778,92.66666666666666,86.66666666666667,19,264,8
198,"[33659105, 40130949, 46996767]",44972,3469,57,99.93777777777778,96.36111111111111,95,28,131,3
199,"[44140416, 47070106, 52496109]",44444,3591,30,98.76444444444444,99.75,50,556,9,30
200,"[33223080, 48049563]",40456,2067,60,89.90222222222222,57.41666666666667,100,4544,1533,0
201,"[45592567, 48283165, 52850628]",44563,3149,49,99.02888888888889,87.47222222222221,81.66666666666667,437,451,11
202,"[37236386, 42248484, 48358574]",44728,3243,60,99.39555555555556,90.08333333333334,100,272,357,0
203,"[48516100, 51207560]",44617,3137,42,99.14888888888888,87.13888888888889,70,383,463,18
204,"[45881067, 47805309, 49004975]",44711,3583,48,99.35777777777778,99.52777778,80,289,17,12
205,"[37707904, 47354647, 50054241]",44845,3356,42,99.65555555555557,93.22222222,70,155,244,18
206,"[45640017, 50074410, 50974938]",44948,3504,52,99.88444444444444,97.33333333333334,86.66666666666667,52,96,8
207,"[47878920, 49301436, 50271756]",44948,3399,42,99.88444444444444,94.41666666666669,70,52,201,18
208,"[50464216, 51000245]",44152,3586,54,98.11555555555556,99.61111111,90,848,14,6
209,"[33797811, 52995730]",44787,3423,33,99.52666666666666,95.08333333333331,55.00000000000001,213,177,27
210,"[36083359, 53678556]",40287,3453,60,89.52666666666667,95.91666666666666,100,4713,147,0
211,"[36636627, 40993763, 52809341]",43450,3579,49,96.55555555555554,99.41666666666666,81.66666666666667,1550,21,11
212,"[34044293, 34179130, 51284148]",43610,3575,42,96.91111111111113,99.30555555555556,70,1390,25,18
213,"[32843121, 34789292, 43808522, 46560674]",44807,3582,31,99.57111111111112,99.5,51.66666666666667,193,18,29
214,"[31518958, 38885864, 46608874]",44608,3283,43,99.12888889,91.19444444444444,71.66666666666667,392,317,17
215,"[36299245, 52892570, 53202599]",44481,3572,36,98.84666666666668,99.22222222222224,60,519,28,24
216,"[45336872, 46229578, 47135138, 50268618]",41533,3540,60,92.29555555555557,98.33333333333331,100,3467,60,0
217,"[31414860, 42580862, 46554797]",44715,3121,51,99.36666666666667,86.69444444444444,85,285,479,9
218,"[39106554, 43882354, 48623603, 53347184]",44862,3221,52,99.69333333333331,89.47222222222221,86.66666666666667,138,379,8
219,"[53756308, 55832388, 64671303]",44570,3349,51,99.04444444444444,93.02777777777776,85,430,251,9
220,"[53968474, 60746003, 74012404]",44822,3584,52,99.60444444444444,99.55555555555556,86.66666666666667,178,16,8
221,"[54040905, 54501872, 71462974]",44803,3137,44,99.56222222222222,87.13888888888889,73.33333333333333,197,463,16
222,"[54498494, 71032013]",44841,3308,38,99.64666666666666,91.88888888888889,63.33333333333333,159,292,22
223,"[57086421, 64237936]",44869,3542,55,99.70888889,98.38888888888889,91.66666666666666,131,58,5
224,"[54990349, 55073544, 57479326]",44961,3337,44,99.91333333333333,92.69444444444444,73.33333333333333,39,263,16
225,"[57876325, 59074390, 63242693]",44955,3300,46,99.9,91.66666666666666,76.66666666666667,45,300,14
226,"[55651695, 59121790, 59297673]",44818,2494,60,99.59555555555556,69.27777777777779,100,182,1106,0
227,"[59578723, 67187147, 75301268]",44996,2674,19,99.99111111111112,74.27777777777777,31.666666666666664,4,926,41
228,"[60675722, 69385784]",44827,3064,45,99.61555555555556,85.11111111111111,75,173,536,15
229,"[55209345, 61761651, 63752274]",44336,3198,60,98.52444444444444,88.83333333333333,100,664,402,0
230,"[65395765, 65645769]",42956,3591,25,95.45777777777778,99.75,41.66666666666667,2044,9,35
231,"[56223573, 65511662, 71476075]",39796,3575,40,88.43555555555555,99.30555555555556,66.66666666666666,5204,25,20
232,"[54014554, 62241869, 65685588]",43602,2113,60,96.89333333333332,58.69444444444445,100,1398,1487,0
233,"[59543392, 67703078]",44641,3579,26,99.20222222222222,99.41666666666666,43.333333333333336,359,21,34
234,"[67756400, 73644768]",44773,3593,55,99.49555555555555,99.80555555555556,91.66666666666666,227,7,5
235,"[67847567, 69538525]",44878,2728,37,99.72888888888887,75.77777777777777,61.66666666666667,122,872,23
236,"[57541638, 70699927]",44903,3403,57,99.78444444444445,94.52777777777776,95,97,197,3
237,"[60203560, 70481669, 71667819]",29371,3600,29,65.26888888888888,100,48.333333333333336,15629,0,31
238,"[71875611, 73921012]",44363,3593,34,98.58444444444444,99.80555555555556,56.66666666666666,637,7,26
239,"[71068074, 72269261]",44228,3273,60,98.28444444444445,90.91666666666669,100,772,327,0
240,"[55891426, 73418953]",42100,3581,48,93.55555555555556,99.47222222,80,2900,19,12
241,"[57525771, 71501942, 74274006]",44132,2870,60,98.07111111111112,79.72222222222223,100,868,730,0
242,"[54755261, 69574265, 74404621]",42558,3402,60,94.57333333333334,94.5,100,2442,198,0
243,"[63317024, 64926878, 70035949]",44794,3353,35,99.54222222222222,93.13888889,58.333333333333336,206,247,25
244,"[60727791, 63152015, 64478509]",44389,3585,36,98.64222222222222,99.58333333333331,60,611,15,24
245,"[57944475, 73533710, 74657577]",44550,3503,52,99,97.30555555555556,86.66666666666667,450,97,8
246,"[58542224, 63659062, 67010814]",44633,3358,57,99.18444444444444,93.27777778,95,367,242,3
247,"[66033959, 67116509, 72069312]",44843,3124,45,99.65111111,86.77777777777777,75,157,476,15
248,"[53769877, 70750651, 71719021]",43774,3410,60,97.27555555555556,94.72222222,100,1226,190,0
249,"[55322723, 66188449, 67711911]",44866,3308,39,99.70222222222222,91.88888888888889,65,134,292,21
250,"[57455232, 63803764, 64736552]",44589,3485,27,99.08666666666667,96.80555555555556,45,411,115,33
251,"[66746190, 72105699, 72185773]",44616,3573,34,99.14666666666668,99.25,56.66666666666666,384,27,26
252,"[56241374, 73907263]",38237,3150,60,84.97111111111111,87.5,100,6763,450,0
253,"[64351016, 66861434]",36590,3592,42,81.31111111111112,99.77777777777776,70,8410,8,18
254,"[55312847, 60984332, 70728225]",44922,3571,25,99.82666666666668,99.19444444444444,41.66666666666667,78,29,35
255,"[54994207, 55280014, 62545544]",44867,2994,57,99.70444444444443,83.16666666666667,95,133,606,3
256,"[61252959, 62541965, 71867294]",44609,3513,57,99.13111111111112,97.58333333333331,95,391,87,3
257,"[57082138, 58733183, 65482699]",44886,3404,52,99.74666666666666,94.55555555555556,86.66666666666667,114,196,8
258,"[60627517, 65025406, 71569279]",44675,3562,13,99.27777777777776,98.94444444444444,21.666666666666668,325,38,47
259,"[74479790, 74692773]",44828,2628,32,99.61777778,73,53.333333333333336,172,972,28
260,"[63094525, 64083626, 67971552]",44702,3362,54,99.33777777777776,93.38888888888889,90,298,238,6
261,"[59781142, 64588845]",44841,2408,24,99.64666666666666,66.88888888888889,40,159,1192,36
262,"[66586786, 70468957]",42202,3599,45,93.78222222222222,99.97222222,75,2798,1,15
263,"[66055674, 69794288, 71610415, 74318249]",44922,3406,40,99.82666666666668,94.61111111111111,66.66666666666666,78,194,20
264,"[57404818, 70043972]",41743,3564,45,92.76222222222222,99,75,3257,36,15
